               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1       71,0.857     ,-1.98     ,1.39      ,0.0893    ,          ,          ,          ,          ,  -7489690
 DSO 2       65,          ,          ,          ,          ,0.687     ,0.687     ,0.647     ,0.0151    ,  -7487072
 DSO 1       72,0.698     ,-1.39     ,2.38      ,0.0714    ,          ,          ,          ,          ,  -7479690
 DSO 2       66,          ,          ,          ,          ,0.726     ,0.647     ,0.766     ,0.0190    ,  -7477072
 DSO 1       73,0.857     ,5.16      ,4.37      ,0.1032    ,          ,          ,          ,          ,  -7469690
 DSO 2       67,          ,          ,          ,          ,0.667     ,0.468     ,0.607     ,0.0202    ,  -7467072
 DSO 1       74,0.857     ,0.40      ,4.96      ,0.1171    ,          ,          ,          ,          ,  -7459690
 DSO 2       68,          ,          ,          ,          ,0.607     ,0.349     ,0.230     ,0.0167    ,  -7457072
 DSO 1       75,0.556     ,-2.98     ,2.38      ,0.0774    ,          ,          ,          ,          ,  -7449690
 DSO 2       69,          ,          ,          ,          ,0.548     ,0.667     ,0.905     ,0.0190    ,  -7447072
 DSO 1       76,0.508     ,-0.60     ,4.76      ,0.0437    ,          ,          ,          ,          ,  -7439690
 DSO 2       70,          ,          ,          ,          ,-0.048    ,0.091     ,0.349     ,0.0155    ,  -7437072
 DSO 1       77,0.587     ,1.39      ,2.78      ,0.0794    ,          ,          ,          ,          ,  -7429690
 DSO 2       71,          ,          ,          ,          ,0.210     ,0.310     ,0.131     ,0.0135    ,  -7427072
 DSO 1       78,0.794     ,-0.40     ,4.96      ,0.0357    ,          ,          ,          ,          ,  -7419690
 DSO 2       72,          ,          ,          ,          ,0.528     ,-0.048    ,0.647     ,0.0246    ,  -7417072
 DSO 1       79,0.937     ,-0.79     ,2.78      ,0.0734    ,          ,          ,          ,          ,  -7409690
 DSO 2       73,          ,          ,          ,          ,-0.087    ,0.052     ,0.567     ,0.0183    ,  -7407072
 DSO 1       80,0.825     ,-0.60     ,0.20      ,0.0595    ,          ,          ,          ,          ,  -7399690
 DSO 2       74,          ,          ,          ,          ,0.806     ,0.528     ,0.746     ,0.0202    ,  -7397072
 DSO 1       81,0.667     ,2.38      ,3.37      ,0.1032    ,          ,          ,          ,          ,  -7389690
 DSO 2       75,          ,          ,          ,          ,0.706     ,0.349     ,0.667     ,0.0290    ,  -7387072
 DSO 1       82,0.889     ,2.18      ,1.98      ,0.0714    ,          ,          ,          ,          ,  -7379690
 DSO 2       76,          ,          ,          ,          ,0.726     ,0.468     ,0.647     ,0.0171    ,  -7377072
 DSO 1       83,0.810     ,-1.98     ,3.57      ,0.0694    ,          ,          ,          ,          ,  -7369690
 DSO 2       77,          ,          ,          ,          ,0.667     ,0.726     ,0.627     ,0.0226    ,  -7367072
 DSO 1       84,0.810     ,-0.99     ,3.37      ,0.0595    ,          ,          ,          ,          ,  -7359690
 DSO 2       78,          ,          ,          ,          ,0.409     ,0.111     ,0.171     ,0.0194    ,  -7357072
 DSO 1       85,0.746     ,0.20      ,3.17      ,0.0913    ,          ,          ,          ,          ,  -7349690
 DSO 2       79,          ,          ,          ,          ,0.210     ,0.151     ,0.409     ,0.0163    ,  -7347072
 DSO 1       86,0.651     ,0.79      ,2.38      ,0.0734    ,          ,          ,          ,          ,  -7339690
 DSO 2       80,          ,          ,          ,          ,0.310     ,0.508     ,0.468     ,0.0234    ,  -7337072
