               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,,
 DSO 2     3449,          ,          ,          ,          ,9.13E-02,3.18E-02,5.68E-01,1.71E-02,34548088,
 DSO 1     3455,2.016,-1.389,3.97E-01,2.62E-02,          ,          ,          ,          ,34550000,
 DSO 2     3450,          ,          ,          ,          ,3.69E-01,1.11E-01,5.48E-01,1.23E-02,34558088,
 DSO 1     3456,2.048,-3.373,0,2.14E-02,          ,          ,          ,          ,34560000,
 DSO 2     3451,          ,          ,          ,          ,5.08E-01,1.11E-01,3.18E-02,1.47E-02,34568088,
 DSO 1     3457,2.175,9.92E-01,-3.175,4.88E-02,          ,          ,          ,          ,34570000,
 DSO 2     3452,          ,          ,          ,          ,3.10E-01,4.68E-01,-4.76E-02,9.13E-03,34578088,
 DSO 1     3458,2,-1.587,-1.98E-01,2.86E-02,          ,          ,          ,          ,34580000,
 DSO 2     3453,          ,          ,          ,          ,-1.27E-01,3.10E-01,3.29E-01,1.31E-02,34588088,
 DSO 1     3459,2.032,-4.563,1.389,4.05E-02,          ,          ,          ,          ,34590000,
 DSO 2     3454,          ,          ,          ,          ,4.09E-01,2.90E-01,2.90E-01,9.92E-03,34598088,
 DSO 1     3460,1.921,-1.786,1.786,1.43E-02,          ,          ,          ,          ,34600000,
 DSO 2     3455,          ,          ,          ,          ,4.88E-01,3.49E-01,2.70E-01,1.87E-02,34608088,
 DSO 1     3461,1.905,-2.183,3.373,2.98E-02,          ,          ,          ,          ,34610000,
 DSO 2     3456,          ,          ,          ,          ,3.10E-01,5.08E-01,4.29E-01,1.47E-02,34618088,
 DSO 1     3462,2.032,-1.587,3.175,1.43E-02,          ,          ,          ,          ,34620000,
 DSO 2     3457,          ,          ,          ,          ,3.89E-01,2.50E-01,4.29E-01,7.94E-03,34628088,
 DSO 1     3463,1.984,0,1.389,2.98E-02,          ,          ,          ,          ,34630000,
 DSO 2     3458,          ,          ,          ,          ,3.10E-01,7.14E-02,6.87E-01,2.26E-02,34638088,
 DSO 1     3464,2.048,-1.19,-5.95E-01,2.74E-02,          ,          ,          ,          ,34640000,
 DSO 2     3459,          ,          ,          ,          ,3.29E-01,9.13E-02,5.08E-01,1.94E-02,34648088,
 DSO 1     3465,2.254,-3.175,-1.19,3.33E-02,          ,          ,          ,          ,34650000,
 DSO 2     3460,          ,          ,          ,          ,5.16E-02,4.29E-01,1.71E-01,1.55E-02,34658088,
 DSO 1     3466,2.111,3.968,-1.389,2.38E-02,          ,          ,          ,          ,34660000,
 DSO 2     3461,          ,          ,          ,          ,1.31E-01,1.71E-01,1.91E-01,1.63E-02,34668088,
 DSO 1     3467,2.175,-3.571,1.98E-01,5.12E-02,          ,          ,          ,          ,34670000,
 DSO 2     3462,          ,          ,          ,          ,2.30E-01,1.31E-01,2.70E-01,3.57E-03,34678088,
 DSO 1     3468,1.857,-3.175,3.571,2.74E-02,          ,          ,          ,          ,34680000,
 DSO 2     3463,          ,          ,          ,          ,4.09E-01,1.71E-01,1.51E-01,1.47E-02,34688088,
 DSO 1     3469,1.984,4.167,1.786,4.29E-02,          ,          ,          ,          ,34690000,
 DSO 2     3464,          ,          ,          ,          ,2.70E-01,2.90E-01,5.48E-01,7.54E-03,34698088,
 DSO 1     3470,1.968,-1.587,3.968,4.76E-02,          ,          ,          ,          ,34700000,
 DSO 2     3465,          ,          ,          ,          ,6.07E-01,4.29E-01,3.49E-01,1.59E-02,34708088,
 DSO 1     3471,1.889,-2.579,9.92E-01,3.69E-02,          ,          ,          ,          ,34710000,
 DSO 2     3466,          ,          ,          ,          ,3.69E-01,1.19E-02,2.90E-01,1.79E-02,34718088,
 DSO 1     3472,2.079,-2.381,-2.183,2.62E-02,          ,          ,          ,          ,34720000,
 DSO 2     3467,          ,          ,          ,          ,4.88E-01,2.30E-01,2.50E-01,1.71E-02,34728088,
 DSO 1     3473,1.984,5.95E-01,-5.95E-01,3.45E-02,          ,          ,          ,          ,34730000,
 DSO 2     3468,          ,          ,          ,          ,2.50E-01,3.49E-01,6.87E-01,1.55E-02,34738088,
 DSO 1     3474,2.19,1.19,1.389,1.43E-02,          ,          ,          ,          ,34740000,
 DSO 2     3469,          ,          ,          ,          ,2.70E-01,1.51E-01,3.29E-01,9.13E-03,34748088,
 DSO 1     3475,2.063,2.183,-3.175,2.98E-02,          ,          ,          ,          ,34750000,
 DSO 2     3470,          ,          ,          ,          ,4.29E-01,2.30E-01,2.90E-01,1.35E-02,34758088,
 DSO 1     3476,2.048,-3.571,4.96,2.50E-02,          ,          ,          ,          ,34760000,
 DSO 2     3471,          ,          ,          ,          ,5.08E-01,3.89E-01,2.50E-01,1.59E-02,34768088,
 DSO 1     3477,1.921,-1.389,-5.95E-01,1.91E-02,          ,          ,          ,          ,34770000,
 DSO 2     3472,          ,          ,          ,          ,5.68E-01,4.88E-01,4.68E-01,1.27E-02,34778088,
 DSO 1     3478,2.016,-2.976,3.373,1.31E-02,          ,          ,          ,          ,34780000,
 DSO 2     3473,          ,          ,          ,          ,5.28E-01,1.11E-01,5.28E-01,9.92E-03,34788088,
 DSO 1     3479,2.095,-2.183,9.92E-01,7.14E-03,          ,          ,          ,          ,34790000,
 DSO 2     3474,          ,          ,          ,          ,6.67E-01,7.14E-02,2.70E-01,1.15E-02,34798088,
 DSO 1     3480,2.048,-3.97E-01,1.98E-01,3.21E-02,          ,          ,          ,          ,34800000,
 DSO 2     3475,          ,          ,          ,          ,3.18E-02,2.30E-01,4.09E-01,2.26E-02,34808088,
 DSO 1     3481,2.143,-2.778,1.19,1.79E-02,          ,          ,          ,          ,34810000,
 DSO 2     3476,          ,          ,          ,          ,2.70E-01,1.11E-01,3.69E-01,2.46E-02,34818088,
 DSO 1     3482,2.238,-9.92E-01,9.92E-01,3.21E-02,          ,          ,          ,          ,34820000,
 DSO 2     3477,          ,          ,          ,          ,4.88E-01,9.13E-02,4.09E-01,7.14E-03,34828088,
 DSO 1     3483,2.476,3.97E-01,-1.786,2.86E-02,          ,          ,          ,          ,34830000,
 DSO 2     3478,          ,          ,          ,          ,5.08E-01,1.91E-01,4.88E-01,1.19E-02,34838088,
 DSO 1     3484,1.746,-4.96,3.77,2.86E-02,          ,          ,          ,          ,34840000,
 DSO 2     3479,          ,          ,          ,          ,2.30E-01,3.89E-01,1.19E-02,1.43E-02,34848088,
 DSO 1     3485,1.857,7.94E-01,1.587,2.74E-02,          ,          ,          ,          ,34850000,
 DSO 2     3480,          ,          ,          ,          ,1.11E-01,-7.94E-03,2.90E-01,1.71E-02,34858088,
 DSO 1     3486,1.889,1.984,4.762,2.86E-02,          ,          ,          ,          ,34860000,
 DSO 2     3481,          ,          ,          ,          ,2.30E-01,-8.73E-02,4.68E-01,1.35E-02,34868088,
 DSO 1     3487,2.127,-4.762,3.373,1.19E-02,          ,          ,          ,          ,34870000,
 DSO 2     3482,          ,          ,          ,          ,-1.07E-01,3.89E-01,3.49E-01,1.71E-02,34878088,
 DSO 1     3488,1.937,-2.381,-3.97E-01,2.98E-02,          ,          ,          ,          ,34880000,
 DSO 2     3483,          ,          ,          ,          ,5.87E-01,4.09E-01,2.90E-01,2.26E-02,34888088,
 DSO 1     3489,2.095,2.976,-2.976,3.45E-02,          ,          ,          ,          ,34890000,
 DSO 2     3484,          ,          ,          ,          ,1.91E-01,3.18E-02,5.08E-01,1.91E-02,34898088,
 DSO 1     3490,2.143,-1.786,-5.95E-01,5.12E-02,          ,          ,          ,          ,34900000,
 DSO 2     3485,          ,          ,          ,          ,1.91E-01,4.09E-01,3.49E-01,1.75E-02,34908088,
 DSO 1     3491,2.063,1.98E-01,1.19,3.45E-02,          ,          ,          ,          ,34910000,
 DSO 2     3486,          ,          ,          ,          ,9.13E-02,-4.76E-02,9.13E-02,9.13E-03,34918088,
 DSO 1     3492,1.921,-2.976,1.587,2.50E-02,          ,          ,          ,          ,34920000,
 DSO 2     3487,          ,          ,          ,          ,4.88E-01,4.88E-01,3.89E-01,1.83E-02,34928088,
 DSO 1     3493,2.095,-3.571,1.587,1.19E-02,          ,          ,          ,          ,34930000,
 DSO 2     3488,          ,          ,          ,          ,1.91E-01,3.18E-02,4.88E-01,1.55E-02,34938088,
 DSO 1     3494,1.889,-2.976,3.175,2.62E-02,          ,          ,          ,          ,34940000,
 DSO 2     3489,          ,          ,          ,          ,3.89E-01,2.10E-01,8.06E-01,7.94E-03,34948088,
 DSO 1     3495,2.048,-5.95E-01,1.786,2.86E-02,          ,          ,          ,          ,34950000,
 DSO 2     3490,          ,          ,          ,          ,-2.78E-02,5.16E-02,2.50E-01,1.91E-02,34958088,
 DSO 1     3496,2.27,7.94E-01,-1.19,1.43E-02,          ,          ,          ,          ,34960000,
 DSO 2     3491,          ,          ,          ,          ,4.88E-01,1.71E-01,7.86E-01,1.55E-02,34968088,
 DSO 1     3497,2.175,-5.95E-01,1.98E-01,3.33E-02,          ,          ,          ,          ,34970000,
 DSO 2     3492,          ,          ,          ,          ,6.87E-01,3.69E-01,2.90E-01,1.15E-02,34978088,
 DSO 1     3498,2.111,7.94E-01,3.97E-01,2.62E-02,          ,          ,          ,          ,34980000,
 DSO 2     3493,          ,          ,          ,          ,2.70E-01,1.11E-01,2.30E-01,1.11E-02,34988088,
 DSO 1     3499,1.921,0,-2.579,2.98E-02,          ,          ,          ,          ,34990000,
 DSO 2     3494,          ,          ,          ,          ,1.51E-01,3.49E-01,3.18E-02,3.18E-03,34998088,
 DSO 1     3500,1.921,-3.373,1.984,1.55E-02,          ,          ,          ,          ,35000000,
 DSO 2     3495,          ,          ,          ,          ,3.10E-01,-1.07E-01,9.13E-02,7.94E-03,35008088,
 DSO 1     3501,1.825,-2.579,1.98E-01,3.10E-02,          ,          ,          ,          ,35010000,
 DSO 2     3496,          ,          ,          ,          ,3.49E-01,1.11E-01,5.08E-01,1.43E-02,35018088,
 DSO 1     3502,2.27,-3.373,2.381,3.69E-02,          ,          ,          ,          ,35020000,
 DSO 2     3497,          ,          ,          ,          ,4.09E-01,4.29E-01,5.48E-01,7.14E-03,35028088,
 DSO 1     3503,2.159,0,3.77,2.38E-02,          ,          ,          ,          ,35030000,
 DSO 2     3498,          ,          ,          ,          ,2.90E-01,1.51E-01,4.29E-01,1.75E-02,35038088,
 DSO 1     3504,2.222,7.94E-01,-1.587,3.33E-02,          ,          ,          ,          ,35040000,
 DSO 2     3499,          ,          ,          ,          ,9.13E-02,2.50E-01,3.89E-01,2.38E-02,35048088,
 DSO 1     3505,1.968,-1.786,2.183,2.02E-02,          ,          ,          ,          ,35050000,
 DSO 2     3500,          ,          ,          ,          ,2.50E-01,2.50E-01,4.68E-01,1.67E-02,35058088,
 DSO 1     3506,1.952,-1.98E-01,-9.92E-01,4.05E-02,          ,          ,          ,          ,35060000,
 DSO 2     3501,          ,          ,          ,          ,1.91E-01,-1.07E-01,6.27E-01,1.94E-02,35068088,
 DSO 1     3507,2.254,2.183,-1.98E-01,3.81E-02,          ,          ,          ,          ,35070000,
 DSO 2     3502,          ,          ,          ,          ,7.14E-02,4.29E-01,2.30E-01,1.11E-02,35078088,
 DSO 1     3508,1.619,-1.786,-3.373,3.45E-02,          ,          ,          ,          ,35080000,
 DSO 2     3503,          ,          ,          ,          ,2.30E-01,2.30E-01,2.90E-01,6.35E-03,35088088,
 DSO 1     3509,1.937,-7.94E-01,1.587,3.10E-02,          ,          ,          ,          ,35090000,
 DSO 2     3504,          ,          ,          ,          ,2.30E-01,3.10E-01,3.29E-01,1.07E-02,35098088,
 DSO 1     3510,1.952,-4.96,1.389,2.62E-02,          ,          ,          ,          ,35100000,
 DSO 2     3505,          ,          ,          ,          ,6.47E-01,1.91E-01,4.68E-01,7.94E-03,35108088,
 DSO 1     3511,2.063,1.984,1.786,2.74E-02,          ,          ,          ,          ,35110000,
 DSO 2     3506,          ,          ,          ,          ,3.49E-01,1.11E-01,3.29E-01,1.15E-02,35118088,
 DSO 1     3512,1.873,7.94E-01,-3.97E-01,4.17E-02,          ,          ,          ,          ,35120000,
 DSO 2     3507,          ,          ,          ,          ,4.09E-01,2.30E-01,6.27E-01,7.94E-03,35128088,
 DSO 1     3513,2.175,-9.92E-01,9.92E-01,3.10E-02,          ,          ,          ,          ,35130000,
 DSO 2     3508,          ,          ,          ,          ,4.29E-01,2.50E-01,3.49E-01,1.31E-02,35138088,
 DSO 1     3514,2.032,-9.92E-01,-1.984,2.98E-02,          ,          ,          ,          ,35140000,
 DSO 2     3509,          ,          ,          ,          ,3.49E-01,3.49E-01,5.28E-01,1.19E-02,35148088,
 DSO 1     3515,2.016,7.94E-01,-7.94E-01,4.29E-02,          ,          ,          ,          ,35150000,
 DSO 2     3510,          ,          ,          ,          ,2.90E-01,1.51E-01,-1.87E-01,9.52E-03,35158088,
 DSO 1     3516,2.111,-5.95E-01,-7.94E-01,4.41E-02,          ,          ,          ,          ,35160000,
 DSO 2     3511,          ,          ,          ,          ,1.71E-01,4.48E-01,-1.67E-01,1.27E-02,35168088,
 DSO 1     3517,1.841,-3.175,4.762,4.17E-02,          ,          ,          ,          ,35170000,
 DSO 2     3512,          ,          ,          ,          ,5.16E-02,3.49E-01,5.48E-01,1.19E-02,35178088,
 DSO 1     3518,2.048,-5.159,7.94E-01,2.62E-02,          ,          ,          ,          ,35180000,
 DSO 2     3513,          ,          ,          ,          ,4.68E-01,5.16E-02,4.29E-01,3.97E-03,35188088,
 DSO 1     3519,2.016,-5.95E-01,4.167,3.69E-02,          ,          ,          ,          ,35190000,
 DSO 2     3514,          ,          ,          ,          ,1.51E-01,7.14E-02,4.09E-01,1.27E-02,35198088,
 DSO 1     3520,1.921,-9.92E-01,3.175,2.50E-02,          ,          ,          ,          ,35200000,
 DSO 2     3515,          ,          ,          ,          ,4.29E-01,5.16E-02,4.48E-01,1.91E-02,35208088,
 DSO 1     3521,1.905,-2.579,-1.19,4.29E-02,          ,          ,          ,          ,35210000,
 DSO 2     3516,          ,          ,          ,          ,2.70E-01,4.29E-01,7.66E-01,1.35E-02,35218088,
 DSO 1     3522,2.175,-1.98E-01,-7.94E-01,3.69E-02,          ,          ,          ,          ,35220000,
 DSO 2     3517,          ,          ,          ,          ,2.10E-01,1.11E-01,6.67E-01,2.10E-02,35228088,
 DSO 1     3523,2.238,-1.786,-1.389,2.86E-02,          ,          ,          ,          ,35230000,
 DSO 2     3518,          ,          ,          ,          ,1.91E-01,2.50E-01,2.30E-01,1.19E-02,35238088,
 DSO 1     3524,2.222,-1.389,-2.976,3.81E-02,          ,          ,          ,          ,35240000,
 DSO 2     3519,          ,          ,          ,          ,4.29E-01,1.91E-01,3.18E-02,9.52E-03,35248088,
 DSO 1     3525,1.81,-1.389,1.19,3.10E-02,          ,          ,          ,          ,35250000,
 DSO 2     3520,          ,          ,          ,          ,1.11E-01,2.70E-01,4.09E-01,1.11E-02,35258088,
 DSO 1     3526,1.984,-5.159,1.19,3.10E-02,          ,          ,          ,          ,35260000,
 DSO 2     3521,          ,          ,          ,          ,2.10E-01,4.48E-01,3.10E-01,2.78E-03,35268088,
 DSO 1     3527,2.111,-3.97E-01,3.968,4.17E-02,          ,          ,          ,          ,35270000,
 DSO 2     3522,          ,          ,          ,          ,3.69E-01,2.90E-01,4.68E-01,1.47E-02,35278088,
 DSO 1     3528,2.016,-1.786,1.19,2.62E-02,          ,          ,          ,          ,35280000,
 DSO 2     3523,          ,          ,          ,          ,2.70E-01,2.30E-01,1.71E-01,1.83E-02,35288088,
 DSO 1     3529,1.952,7.94E-01,-9.92E-01,2.14E-02,          ,          ,          ,          ,35290000,
 DSO 2     3524,          ,          ,          ,          ,4.48E-01,3.18E-02,4.29E-01,1.94E-02,35298088,
 DSO 1     3530,2.079,-3.373,-1.984,2.50E-02,          ,          ,          ,          ,35300000,
 DSO 2     3525,          ,          ,          ,          ,2.30E-01,2.90E-01,7.06E-01,1.75E-02,35308088,
 DSO 1     3531,2.19,7.94E-01,1.389,4.05E-02,          ,          ,          ,          ,35310000,
 DSO 2     3526,          ,          ,          ,          ,6.07E-01,1.91E-01,3.49E-01,1.23E-02,35318088,
 DSO 1     3532,2.206,1.587,-4.762,3.57E-02,          ,          ,          ,          ,35320000,
 DSO 2     3527,          ,          ,          ,          ,3.49E-01,3.29E-01,1.91E-01,9.52E-03,35328088,
 DSO 1     3533,1.921,-3.97E-01,9.92E-01,3.21E-02,          ,          ,          ,          ,35330000,
 DSO 2     3528,          ,          ,          ,          ,5.16E-02,1.91E-01,3.89E-01,1.23E-02,35338088,
 DSO 1     3534,1.968,-5.159,1.389,3.45E-02,          ,          ,          ,          ,35340000,
 DSO 2     3529,          ,          ,          ,          ,2.50E-01,2.30E-01,1.31E-01,5.56E-03,35348088,
 DSO 1     3535,1.921,-1.98E-01,-7.94E-01,1.43E-02,          ,          ,          ,          ,35350000,
 DSO 2     3530,          ,          ,          ,          ,4.29E-01,1.91E-01,1.11E-01,1.11E-02,35358088,
 DSO 1     3536,1.937,-1.587,0,2.62E-02,          ,          ,          ,          ,35360000,
 DSO 2     3531,          ,          ,          ,          ,4.09E-01,7.14E-02,5.28E-01,2.14E-02,35368088,
 DSO 1     3537,2.063,-3.373,-2.778,3.21E-02,          ,          ,          ,          ,35370000,
 DSO 2     3532,          ,          ,          ,          ,4.09E-01,3.69E-01,2.50E-01,1.75E-02,35378088,
 DSO 1     3538,2.079,-7.94E-01,-3.373,3.69E-02,          ,          ,          ,          ,35380000,
 DSO 2     3533,          ,          ,          ,          ,3.89E-01,2.90E-01,5.28E-01,2.18E-02,35388088,
 DSO 1     3539,2.032,-1.984,1.389,2.62E-02,          ,          ,          ,          ,35390000,
 DSO 2     3534,          ,          ,          ,          ,3.89E-01,2.50E-01,3.49E-01,1.67E-02,35398088,
 DSO 1     3540,2.206,-3.97E-01,-1.984,2.98E-02,          ,          ,          ,          ,35400000,
 DSO 2     3535,          ,          ,          ,          ,4.68E-01,1.19E-02,2.10E-01,8.73E-03,35408088,
 DSO 1     3541,2.079,-1.389,0,3.10E-02,          ,          ,          ,          ,35410000,
 DSO 2     3536,          ,          ,          ,          ,3.10E-01,-7.94E-03,3.10E-01,7.14E-03,35418088,
 DSO 1     3542,2.127,-3.175,1.98E-01,3.69E-02,          ,          ,          ,          ,35420000,
 DSO 2     3537,          ,          ,          ,          ,2.90E-01,9.13E-02,4.09E-01,9.92E-03,35428088,
 DSO 1     3543,2,-4.365,3.77,2.14E-02,          ,          ,          ,          ,35430000,
 DSO 2     3538,          ,          ,          ,          ,4.09E-01,7.14E-02,1.31E-01,9.92E-03,35438088,
 DSO 1     3544,2.016,0,1.984,2.38E-02,          ,          ,          ,          ,35440000,
 DSO 2     3539,          ,          ,          ,          ,3.49E-01,2.10E-01,3.49E-01,2.02E-02,35448088,
 DSO 1     3545,1.937,9.92E-01,3.968,3.10E-02,          ,          ,          ,          ,35450000,
 DSO 2     3540,          ,          ,          ,          ,2.70E-01,2.70E-01,7.86E-01,1.79E-02,35458088,
 DSO 1     3546,2.159,-3.175,-4.167,4.05E-02,          ,          ,          ,          ,35460000,
 DSO 2     3541,          ,          ,          ,          ,1.51E-01,3.10E-01,3.89E-01,2.06E-02,35468088,
 DSO 1     3547,2.127,-2.579,-1.389,3.33E-02,          ,          ,          ,          ,35470000,
 DSO 2     3542,          ,          ,          ,          ,2.10E-01,2.50E-01,2.50E-01,2.22E-02,35478088,
 DSO 1     3548,2,2.183,-2.183,2.98E-02,          ,          ,          ,          ,35480000,
 DSO 2     3543,          ,          ,          ,          ,5.48E-01,4.68E-01,1.31E-01,1.03E-02,35488088,
 DSO 1     3549,2.19,-7.94E-01,-2.183,2.74E-02,          ,          ,          ,          ,35490000,
 DSO 2     3544,          ,          ,          ,          ,2.70E-01,1.51E-01,3.89E-01,6.75E-03,35498088,
 DSO 1     3550,2.016,3.97E-01,-1.98E-01,5.00E-02,          ,          ,          ,          ,35500000,
 DSO 2     3545,          ,          ,          ,          ,4.09E-01,1.31E-01,5.87E-01,1.15E-02,35508088,
 DSO 1     3551,1.952,-4.762,9.92E-01,2.14E-02,          ,          ,          ,          ,35510000,
 DSO 2     3546,          ,          ,          ,          ,4.48E-01,4.09E-01,1.91E-01,2.30E-02,35518088,
 DSO 1     3552,2.254,-3.97E-01,7.94E-01,3.57E-02,          ,          ,          ,          ,35520000,
 DSO 2     3547,          ,          ,          ,          ,5.68E-01,-4.76E-02,3.29E-01,1.59E-02,35528088,
 DSO 1     3553,2.349,-2.976,1.98E-01,2.02E-02,          ,          ,          ,          ,35530000,
 DSO 2     3548,          ,          ,          ,          ,1.31E-01,7.14E-02,5.87E-01,1.71E-02,35538088,
 DSO 1     3554,2.032,-1.984,1.98E-01,2.62E-02,          ,          ,          ,          ,35540000,
 DSO 2     3549,          ,          ,          ,          ,3.49E-01,1.31E-01,5.48E-01,1.31E-02,35548088,
 DSO 1     3555,2.111,-3.968,0,2.14E-02,          ,          ,          ,          ,35550000,
 DSO 2     3550,          ,          ,          ,          ,5.08E-01,1.31E-01,5.16E-02,1.59E-02,35558088,
 DSO 1     3556,2.222,7.94E-01,-2.778,4.88E-02,          ,          ,          ,          ,35560000,
 DSO 2     3551,          ,          ,          ,          ,2.90E-01,5.08E-01,3.18E-02,8.73E-03,35568088,
 DSO 1     3557,2.016,-1.786,0,2.86E-02,          ,          ,          ,          ,35570000,
 DSO 2     3552,          ,          ,          ,          ,-1.07E-01,3.69E-01,3.29E-01,1.35E-02,35578088,
 DSO 1     3558,2.095,-4.365,1.389,3.93E-02,          ,          ,          ,          ,35580000,
 DSO 2     3553,          ,          ,          ,          ,3.89E-01,3.29E-01,2.70E-01,1.07E-02,35588088,
 DSO 1     3559,1.937,-2.183,1.984,1.43E-02,          ,          ,          ,          ,35590000,
 DSO 2     3554,          ,          ,          ,          ,4.88E-01,4.09E-01,3.10E-01,1.94E-02,35598088,
 DSO 1     3560,1.968,-1.984,3.571,2.86E-02,          ,          ,          ,          ,35600000,
 DSO 2     3555,          ,          ,          ,          ,3.49E-01,5.48E-01,4.09E-01,1.63E-02,35608088,
 DSO 1     3561,2.063,-1.984,3.373,1.43E-02,          ,          ,          ,          ,35610000,
 DSO 2     3556,          ,          ,          ,          ,3.89E-01,2.50E-01,4.48E-01,8.33E-03,35618088,
 DSO 1     3562,1.984,0,1.587,2.98E-02,          ,          ,          ,          ,35620000,
 DSO 2     3557,          ,          ,          ,          ,3.10E-01,9.13E-02,7.06E-01,2.06E-02,35628088,
 DSO 1     3563,2.079,-1.389,-1.98E-01,2.86E-02,          ,          ,          ,          ,35630000,
 DSO 2     3558,          ,          ,          ,          ,3.29E-01,9.13E-02,5.28E-01,2.06E-02,35638088,
 DSO 1     3564,2.254,-3.571,-9.92E-01,3.33E-02,          ,          ,          ,          ,35640000,
 DSO 2     3559,          ,          ,          ,          ,7.14E-02,4.48E-01,1.31E-01,1.47E-02,35648088,
 DSO 1     3565,2.143,3.77,-1.389,2.50E-02,          ,          ,          ,          ,35650000,
 DSO 2     3560,          ,          ,          ,          ,1.31E-01,1.31E-01,1.31E-01,1.47E-02,35658088,
 DSO 1     3566,2.175,-3.571,3.97E-01,5.00E-02,          ,          ,          ,          ,35660000,
 DSO 2     3561,          ,          ,          ,          ,1.91E-01,3.18E-02,2.50E-01,4.76E-03,35668088,
 DSO 1     3567,1.889,-3.571,3.571,2.62E-02,          ,          ,          ,          ,35670000,
 DSO 2     3562,          ,          ,          ,          ,3.69E-01,1.31E-01,1.11E-01,1.47E-02,35678088,
 DSO 1     3568,1.984,3.77,2.183,4.41E-02,          ,          ,          ,          ,35680000,
 DSO 2     3563,          ,          ,          ,          ,2.30E-01,2.30E-01,5.28E-01,5.95E-03,35688088,
 DSO 1     3569,1.968,-1.786,3.968,4.52E-02,          ,          ,          ,          ,35690000,
 DSO 2     3564,          ,          ,          ,          ,5.68E-01,3.89E-01,2.90E-01,1.55E-02,35698088,
 DSO 1     3570,1.905,-2.778,1.19,3.69E-02,          ,          ,          ,          ,35700000,
 DSO 2     3565,          ,          ,          ,          ,3.10E-01,-7.94E-03,2.50E-01,1.71E-02,35708088,
 DSO 1     3571,2.127,-2.579,-2.778,2.62E-02,          ,          ,          ,          ,35710000,
 DSO 2     3566,          ,          ,          ,          ,4.68E-01,1.91E-01,2.10E-01,1.51E-02,35718088,
 DSO 1     3572,2,3.97E-01,-3.97E-01,3.45E-02,          ,          ,          ,          ,35720000,
 DSO 2     3567,          ,          ,          ,          ,2.50E-01,3.10E-01,6.67E-01,1.39E-02,35728088,
 DSO 1     3573,2.222,1.587,1.389,1.55E-02,          ,          ,          ,          ,35730000,
 DSO 2     3568,          ,          ,          ,          ,2.30E-01,1.11E-01,3.10E-01,7.14E-03,35738088,
 DSO 1     3574,2.079,2.183,-3.373,2.74E-02,          ,          ,          ,          ,35740000,
 DSO 2     3569,          ,          ,          ,          ,3.69E-01,1.91E-01,2.70E-01,1.11E-02,35748088,
 DSO 1     3575,2.095,-3.571,4.563,2.26E-02,          ,          ,          ,          ,35750000,
 DSO 2     3570,          ,          ,          ,          ,4.48E-01,3.49E-01,2.30E-01,2.10E-02,35758088,
 DSO 1     3576,1.968,-1.389,-9.92E-01,1.67E-02,          ,          ,          ,          ,35760000,
 DSO 2     3571,          ,          ,          ,          ,4.88E-01,4.48E-01,4.48E-01,3.57E-03,35768088,
 DSO 1     3577,2.032,-2.976,2.778,2.38E-02,          ,          ,          ,          ,35770000,
 DSO 2     3572,          ,          ,          ,          ,4.88E-01,7.14E-02,5.08E-01,2.02E-02,35778088,
 DSO 1     3578,2.127,-2.381,7.94E-01,1.67E-02,          ,          ,          ,          ,35780000,
 DSO 2     3573,          ,          ,          ,          ,6.67E-01,3.18E-02,2.50E-01,1.63E-02,35788088,
 DSO 1     3579,2.159,-7.94E-01,1.98E-01,3.21E-02,          ,          ,          ,          ,35790000,
 DSO 2     3574,          ,          ,          ,          ,3.18E-02,2.10E-01,3.89E-01,-792.1u  ,35798088,
 DSO 1     3580,2.19,-2.976,1.389,8.33E-03,          ,          ,          ,          ,35800000,
 DSO 2     3575,          ,          ,          ,          ,2.70E-01,9.13E-02,3.69E-01,1.59E-02,35808088,
 DSO 1     3581,2.302,-9.92E-01,7.94E-01,3.21E-02,          ,          ,          ,          ,35810000,
 DSO 2     3576,          ,          ,          ,          ,4.68E-01,3.18E-02,3.69E-01,9.13E-03,35818088,
 DSO 1     3582,2.476,5.95E-01,-1.984,3.33E-02,          ,          ,          ,          ,35820000,
 DSO 2     3577,          ,          ,          ,          ,4.68E-01,1.91E-01,4.29E-01,2.02E-02,35828088,
 DSO 1     3583,1.81,-4.762,3.373,3.93E-02,          ,          ,          ,          ,35830000,
 DSO 2     3578,          ,          ,          ,          ,1.91E-01,3.29E-01,-2.78E-02,2.66E-02,35838088,
 DSO 1     3584,1.889,7.94E-01,1.587,2.74E-02,          ,          ,          ,          ,35840000,
 DSO 2     3579,          ,          ,          ,          ,9.13E-02,-6.75E-02,2.50E-01,1.43E-02,35848088,
 DSO 1     3585,1.937,1.984,4.365,2.98E-02,          ,          ,          ,          ,35850000,
 DSO 2     3580,          ,          ,          ,          ,2.10E-01,-1.47E-01,4.68E-01,8.33E-03,35858088,
 DSO 1     3586,2.127,-4.762,3.175,1.07E-02,          ,          ,          ,          ,35860000,
 DSO 2     3581,          ,          ,          ,          ,-1.27E-01,3.29E-01,3.49E-01,1.31E-02,35868088,
 DSO 1     3587,2.016,-2.381,-7.94E-01,3.81E-02,          ,          ,          ,          ,35870000,
 DSO 2     3582,          ,          ,          ,          ,5.68E-01,3.69E-01,2.50E-01,4.13E-02,35878088,
