               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,,
 DSO 1       85,9.21E-01,-5.95E-01,2.976,4.52E-02,          ,          ,          ,          ,850000,
 DSO 2       80,          ,          ,          ,          ,3.69E-01,7.14E-02,5.48E-01,1.07E-02,858088,
 DSO 1       86,8.25E-01,-3.97E-01,1.98E-01,3.69E-02,          ,          ,          ,          ,860000,
 DSO 2       81,          ,          ,          ,          ,4.09E-01,3.29E-01,1.51E-01,2.18E-02,868088,
 DSO 1       87,6.51E-01,2.778,3.373,6.43E-02,          ,          ,          ,          ,870000,
 DSO 2       82,          ,          ,          ,          ,5.48E-01,-8.73E-02,3.10E-01,1.67E-02,878088,
 DSO 1       88,8.89E-01,2.778,2.183,4.76E-02,          ,          ,          ,          ,880000,
 DSO 2       83,          ,          ,          ,          ,1.31E-01,3.18E-02,5.87E-01,1.79E-02,888088,
 DSO 1       89,7.94E-01,-1.786,3.571,4.17E-02,          ,          ,          ,          ,890000,
 DSO 2       84,          ,          ,          ,          ,3.10E-01,1.31E-01,5.28E-01,1.27E-02,898088,
 DSO 1       90,8.10E-01,-5.95E-01,3.373,3.81E-02,          ,          ,          ,          ,900000,
 DSO 2       85,          ,          ,          ,          ,4.88E-01,1.31E-01,1.19E-02,1.55E-02,908088,
 DSO 1       91,7.30E-01,7.94E-01,3.175,5.36E-02,          ,          ,          ,          ,910000,
 DSO 2       86,          ,          ,          ,          ,2.90E-01,4.68E-01,-6.75E-02,8.33E-03,918088,
 DSO 1       92,6.35E-01,1.389,2.381,4.41E-02,          ,          ,          ,          ,920000,
 DSO 2       87,          ,          ,          ,          ,-1.07E-01,3.49E-01,3.10E-01,1.35E-02,928088,
 DSO 1       93,9.37E-01,-9.92E-01,-7.94E-01,7.14E-02,          ,          ,          ,          ,930000,
 DSO 2       88,          ,          ,          ,          ,3.49E-01,3.10E-01,2.50E-01,1.07E-02,938088,
 DSO 1       94,7.78E-01,-2.976,1.786,3.93E-02,          ,          ,          ,          ,940000,
 DSO 2       89,          ,          ,          ,          ,4.29E-01,3.69E-01,2.90E-01,1.83E-02,948088,
 DSO 1       95,6.67E-01,4.167,1.786,7.62E-02,          ,          ,          ,          ,950000,
 DSO 2       90,          ,          ,          ,          ,3.29E-01,5.08E-01,3.89E-01,1.63E-02,958088,
 DSO 1       96,8.25E-01,9.92E-01,2.976,5.36E-02,          ,          ,          ,          ,960000,
 DSO 2       91,          ,          ,          ,          ,3.49E-01,2.50E-01,4.29E-01,9.13E-03,968088,
 DSO 1       97,7.78E-01,-1.984,1.389,3.10E-02,          ,          ,          ,          ,970000,
 DSO 2       92,          ,          ,          ,          ,2.90E-01,7.14E-02,6.67E-01,1.98E-02,978088,
 DSO 1       98,6.98E-01,-3.571,1.19,2.98E-02,          ,          ,          ,          ,980000,
 DSO 2       93,          ,          ,          ,          ,3.10E-01,1.11E-01,4.88E-01,1.91E-02,988088,
 DSO 1       99,6.51E-01,-1.98E-01,-9.92E-01,4.17E-02,          ,          ,          ,          ,990000,
 DSO 2       94,          ,          ,          ,          ,1.19E-02,4.29E-01,1.11E-01,1.43E-02,998088,
