2610	7.74E+03	-6944	42.86
2615		--	
2620	5.56E+03	-9524	16.67
2625		--	
2630	8.53E+03	-10320	29.76
2635		--	
2640	7.74E+03	-5754	22.62
2645		--	
2650	8.73E+03	-9127	36.9
2655		--	
2660	7.94E+03	-6944	36.9
2665		--	
2670	5.36E+03	-6746	44.05
2675		--	
2680	4.17E+03	-2976	21.43
2685		--	
2690	8.73E+03	-4365	42.86
2695		--	
2700	9.52E+03	-2976	41.67
2705		--	
2710	5.36E+03	-10520	41.67
2715		--	
2720	5.95E+03	-7738	46.43
2725		--	
2730	1.07E+04	-8730	33.33
2735		--	
2740	7.54E+03	-8929	34.52
2745		--	
2750	8.33E+03	-6349	46.43
2755		--	
2760	3.57E+03	-4960	16.67
2765		--	
2770	7.34E+03	-5159	47.62
2775		--	
2780	4.96E+03	-5754	10.71
2785		--	
2790	5.95E+03	-5556	33.33
2795		--	
2800	4.17E+03	-5754	32.14
2805		--	
2810	8.73E+03	-9127	60.71
2815		--	
2820	5.56E+03	-6349	35.71
2825		--	
2830	2.78E+03	-3968	51.19
2835		--	
2840	4.96E+03	-3770	27.38
2845		--	
2850	4.96E+03	-1984	34.52
2855		--	
2860	5.16E+03	-1984	16.67
2865		--	
2870	6.75E+03	-3571	17.86
2875		--	
2880	5.36E+03	-5754	11.9
2885		--	
2890	3.18E+03	-6151	21.43
2895		--	
2900	1.05E+04	-6349	5.952
2905		--	
2910	2.38E+03	-4167	47.62
2915		--	
2920	2.58E+03	-992.1	28.57
2925		--	
2930	9.52E+03	-2778	51.19
2935		--	
2940	4.56E+03	-595.2	58.33
2945		--	
2950	2.98E+03	-3175	48.81
2955		--	
2960	3.57E+03	-6349	36.9
2965		--	
2970	5.95E+03	-4365	39.29
2975		--	
2980	6.75E+03	-2778	9.524
2985		--	
2990	7.74E+03	-6944	25
2995		--	
3000	1.59E+03	1.39E+03	23.81
3005		--	
3010	3.57E+03	-4365	22.62
3015		--	
3020	1.79E+03	-396.8	19.05
3025		--	
3030	2.58E+03	-2381	16.67
3035		--	
3040	4.17E+03	-3373	44.05
3045		--	
3050	1.59E+03	-1984	26.19
3055		--	
3060	2.98E+03	-2381	36.9
3065		--	
3070	4.96E+03	-4960	32.14
3075		--	
3080	-992.1	793.7	30.95
3085		--	
3090	4.96E+03	-1190	25
3095		--	
3100	5.95E+03	1.79E+03	25
3105		--	
3110	-793.7	396.8	15.48
3115		--	
3120	1.19E+03	-2976	33.33
3125		--	
3130	6.55E+03	-5357	35.71
3135		--	
3140	1.79E+03	-2976	48.81
3145		--	
3150	3.57E+03	-1190	33.33
3155		--	
3160	-198.4	-396.8	25
3165		--	
3170	-992.1	-198.4	13.1
3175		--	
3180	0.00E+00	1.19E+03	30.95
3185		--	
3190	2.18E+03	-198.4	32.14
3195		--	
3200	3.18E+03	-3175	20.24
3205		--	
3210	1.59E+03	-1389	38.1
3215		--	
3220	2.78E+03	-1389	28.57
3225		--	
3230	1.79E+03	-3571	26.19
3235		--	
3240	-1587	793.7	15.48
3245		--	
3250	-1389	-595.2	30.95
3255		--	
3260	-1984	1.39E+03	39.29
3265		--	
3270	992.1	2.98E+03	25
3275		--	
3280	1.79E+03	-2381	41.67
3285		--	
3290	-992.1	992.1	23.81
3295		--	
3300	595.2	-1190	44.05
3305		--	
3310	2.58E+03	-595.2	44.05
3315		--	
3320	-1190	-3770	38.1
3325		--	
3330	-595.2	1.39E+03	32.14
3335		--	
3340	-4563	1.19E+03	35.71
3345		--	
3350	1.98E+03	1.98E+03	28.57
3355		--	
3360	793.7	-396.8	42.86
3365		--	
3370	-992.1	793.7	33.33
3375		--	
3380	-1190	-1587	28.57
3385		--	
3390	0.00E+00	-198.4	38.1
3395		--	
3400	-1190	-595.2	39.29
3405		--	
3410	-3770	5.36E+03	39.29
3415		--	
3420	-6349	1.39E+03	23.81
3425		--	
3430	-1389	5.16E+03	40.48
3435		--	
3440	-2381	3.77E+03	30.95
3445		--	
3450	-3968	-198.4	51.19
3455		--	
3460	-1587	396.8	45.24
3465		--	
3470	-3373	-198.4	30.95
3475		--	
3480	-3571	-1389	39.29
3485		--	
3490	-2778	2.78E+03	32.14
3495		--	
3500	-7143	2.98E+03	32.14
3505		--	
3510	-2579	5.56E+03	42.86
3515		--	
3520	-3968	3.18E+03	28.57
3525		--	
3530	-1389	1.19E+03	28.57
3535		--	
3540	-5754	-396.8	34.52
3545		--	
3550	-1786	3.57E+03	44.05
3555		--	
3560	-1786	-2381	39.29
3565		--	
3570	-3373	2.58E+03	30.95
3575		--	
3580	-8135	3.77E+03	33.33
3585		--	
3590	-3571	1.79E+03	15.48
3595		--	
3600	-5159	2.78E+03	23.81
3605		--	
3610	-6746	-198.4	30.95
3615		--	
3620	-4365	-396.8	38.1
3625		--	
3630	-5556	4.37E+03	28.57
3635		--	
3640	-4167	992.1	34.52
3645		--	
3650	-5556	2.98E+03	30.95
3655		--	
3660	-7143	3.18E+03	35.71
3665		--	
3670	-8730	6.94E+03	19.05
3675		--	
3680	-4365	5.36E+03	23.81
3685		--	
3690	-3571	7.14E+03	32.14
3695		--	
3700	-8135	-595.2	44.05
3705		--	
3710	-7143	2.58E+03	39.29
3715		--	
3720	-2381	1.79E+03	34.52
3725		--	
3730	-5754	1.59E+03	30.95
3735		--	
3740	-4762	3.77E+03	48.81
3745		--	
3750	-9722	4.76E+03	22.62
3755		--	
3760	-5357	5.16E+03	36.9
3765		--	
3770	-7937	4.56E+03	23.81
3775		--	
3780	-7143	4.37E+03	32.14
3785		--	
3790	-8929	3.97E+03	28.57
3795		--	
3800	-4762	1.19E+03	50
3805		--	
3810	-7540	3.97E+03	28.57
3815		--	
3820	-9921	5.56E+03	36.9
3825		--	
3830	-7738	6.35E+03	11.9
3835		--	
3840	-7738	7.74E+03	25
3845		--	
3850	-7540	7.94E+03	8.333
3855		--	
3860	-5952	6.15E+03	23.81
3865		--	
3870	-7540	4.17E+03	23.81
3875		--	
3880	-9524	3.57E+03	33.33
3885		--	
3890	-2778	3.77E+03	26.19
3895		--	
3900	-9524	4.76E+03	53.57
3905		--	
3910	-9524	7.94E+03	29.76
3915		--	
3920	-2381	7.14E+03	44.05
3925		--	
3930	-7937	8.73E+03	50
3935		--	
3940	-8929	5.75E+03	40.48
3945		--	
3950	-9127	2.38E+03	29.76
3955		--	
3960	-6349	4.56E+03	39.29
3965		--	
3970	-5952	6.55E+03	13.1
3975		--	
3980	-5159	2.38E+03	19.05
3985		--	
3990	-10520	9.72E+03	26.19
3995		--	
4000	-8135	4.37E+03	13.1
4005		--	
4010	-9722	8.14E+03	20.24
4015		--	
4020	-9325	5.95E+03	-2.376
4025		--	
4030	-5952	4.96E+03	25
4035		--	
4040	-7341	4.96E+03	-2.376
4045		--	
4050	-5556	4.17E+03	16.67
4055		--	
4060	-3373	1.19E+03	-2.376
4065		--	
4070	-8135	6.55E+03	26.19
4075		--	
4080	-2381	4.17E+03	29.76
4085		--	
4090	-1587	7.14E+03	54.76
4095		--	
4100	-7540	5.75E+03	28.57
4105		--	
4110	-5159	1.79E+03	34.52
4115		--	
4120	0.00E+00	-793.7	5.952
4125		--	
4130	-4365	1.39E+03	58.33
4135		--	
4140	-2976	3.37E+03	39.29
4145		--	
4150	-5357	3.37E+03	25
4155		--	
4160	-6151	3.57E+03	4.762
4165		--	
4170	-5159	5.16E+03	29.76
4175		--	
4180	-2579	3.57E+03	23.81
4185		--	
4190	-1587	198.4	17.86
4195		--	
4200	-2778	1.98E+03	23.81
4205		--	
4210	-1389	1.79E+03	30.95
4215		--	
4220	-2381	-793.7	39.29
4225		--	
4230	-5159	3.57E+03	34.52
4235		--	
4240	-4762	1.98E+03	32.14
4245		--	
4250	-5754	3.77E+03	38.1
4255		--	
4260	-2183	5.36E+03	20.24
4265		--	
4270	-992.1	0.00E+00	19.97ne3   
4275		--	
4280	-3770	3.18E+03	32.14
4285		--	
4290	-2381	595.2	20.24
4295		--	
4300	0.00E+00	992.1	22.62
4305		--	
4310	-3770	-1984	-2.376
4315		--	
4320	-2976	2.98E+03	39.29
4325		--	
4330	-6746	2.58E+03	26.19
4335		--	
4340	0.00E+00	2.78E+03	39.29
4345		--	
4350	-992.1	595.2	80.95
4355		--	
4360	-2381	1.79E+03	69.05
4365		--	
4370	-2976	-793.7	58.33
4375		--	
4380	-793.7	198.4	65.48
4385		--	
4390	-1786	-396.8	84.52
4395		--	
4400	-4762	5.56E+03	47.62
4405		--	
4410	-6746	1.59E+03	15.48
4415		--	
4420	-2183	5.16E+03	19.05
4425		--	
4430	-2381	3.97E+03	-2.376
4435		--	
4440	-3968	-595.2	19.97ne3   
4445		--	
4450	-1389	0.00E+00	14.29
4455		--	
4460	-3175	-396.8	8.333
4465		--	
4470	-2976	-1984	38.1
4475		--	
4480	-2381	1.98E+03	38.1
4485		--	
4490	-6151	1.98E+03	60.71
4495		--	
4500	-1786	4.56E+03	76.19
4505		--	
4510	-2778	2.38E+03	52.38
4515		--	
4520	0.00E+00	0.00E+00	59.52
4525		--	
4530	-4365	-1190	53.57
4535		--	
4540	-198.4	2.18E+03	32.14
4545		--	
4550	198.4	-4167	19.97ne3   
4555		--	
4560	-1587	992.1	27.38
4565		--	
4570	-5952	2.38E+03	23.81
4575		--	
4580	-992.1	0.00E+00	1.19
4585		--	
4590	-2579	793.7	20.24
4595		--	
4600	-4167	-2183	17.86
4605		--	
4610	-1786	-2579	48.81
4615		--	
4620	-2778	2.18E+03	40.48
4625		--	
4630	-1587	-1389	54.76
4635		--	
4640	-2579	595.2	25
4645		--	
4650	-3968	793.7	55.95
4655		--	
4660	-5556	4.17E+03	19.05
4665		--	
4670	-793.7	2.58E+03	16.67
4675		--	
4680	-198.4	4.37E+03	23.81
4685		--	
4690	-4167	-3571	35.71
4695		--	
4700	-3968	-595.2	1.19
4705		--	
4710	1.59E+03	-1587	9.524
4715		--	
4720	-1786	-1786	3.571
4725		--	
4730	-595.2	595.2	45.24
4735		--	
4740	-5357	1.59E+03	9.524
4745		--	
4750	-1190	1.39E+03	45.24
4755		--	
4760	-3770	793.7	30.95
4765		--	
4770	-2381	992.1	54.76
4775		--	
4780	-4563	595.2	39.29
4785		--	
4790	198.4	-2778	67.86
4795		--	
4800	-2183	0.00E+00	28.57
4805		--	
4810	-5159	1.79E+03	40.48
4815		--	
4820	-2976	1.98E+03	5.952
4825		--	
4830	-2381	3.57E+03	21.43
4835		--	
4840	-2579	3.97E+03	-2.376
4845		--	
4850	-793.7	1.79E+03	19.05
4855		--	
4860	-1984	0.00E+00	15.48
4865		--	
4870	-3968	-595.2	33.33
4875		--	
4880	3.37E+03	-595.2	22.62
4885		--	
4890	-4167	595.2	50
4895		--	
4900	-3968	3.97E+03	30.95
4905		--	
4910	3.37E+03	2.58E+03	53.57
4915		--	
4920	-2381	4.37E+03	53.57
4925		--	
4930	-3571	1.39E+03	45.24
4935		--	
4940	-2976	-1984	25
4945		--	
4950	-595.2	-198.4	33.33
4955		--	
4960	396.8	1.79E+03	14.29
4965		--	
4970	1.59E+03	-2778	32.14
4975		--	
4980	-4365	5.16E+03	25
4985		--	
4990	-2183	-198.4	19.05
4995		--	
5000	-3571	3.57E+03	8.333
5005		--	
5010	-2976	1.39E+03	9.524
5015		--	
5020	-1190	595.2	33.33
5025		--	
5030	-3770	1.39E+03	20.24
5035		--	
5040	-1786	1.39E+03	30.95
5045		--	
5050	-198.4	-1389	28.57
5055		--	
5060	-5556	3.97E+03	25
5065		--	
5070	396.8	1.98E+03	22.62
5075		--	
5080	1.39E+03	4.96E+03	22.62
5085		--	
5090	-5357	3.57E+03	13.1
5095		--	
5100	-3175	-198.4	30.95
5105		--	
5110	2.38E+03	-2381	39.29
5115		--	
5120	-2183	-396.8	48.81
5125		--	
5130	-595.2	1.59E+03	35.71
5135		--	
5140	-3571	1.98E+03	25
5145		--	
5150	-3968	2.18E+03	19.05
5155		--	
5160	-3373	3.57E+03	28.57
5165		--	
5170	-793.7	2.18E+03	26.19
5175		--	
5180	198.4	-992.1	9.524
5185		--	
5190	-1190	396.8	34.52
5195		--	
5200	396.8	396.8	27.38
5205		--	
5210	-793.7	-1984	28.57
5215		--	
5220	-3770	2.18E+03	11.9
5225		--	
5230	-3175	595.2	30.95
5235		--	
5240	-4365	2.38E+03	35.71
5245		--	
5250	-992.1	3.97E+03	26.19
5255		--	
5260	0.00E+00	-1190	33.33
5265		--	
5270	-2381	2.18E+03	21.43
5275		--	
5280	-1190	-595.2	44.05
5285		--	
5290	1.39E+03	198.4	40.48
5295		--	
5300	-2381	-3373	35.71
5305		--	
5310	-1786	1.79E+03	30.95
5315		--	
5320	-5556	1.98E+03	25
5325		--	
5330	1.39E+03	1.79E+03	25
5335		--	
5340	396.8	-595.2	42.86
5345		--	
5350	-1587	992.1	33.33
5355		--	
5360	-1786	-1587	30.95
5365		--	
5370	0.00E+00	-595.2	42.86
5375		--	
5380	-1190	-1190	45.24
5385		--	
5390	-3968	4.76E+03	45.24
5395		--	
5400	-5754	793.7	27.38
5405		--	
5410	-1190	4.56E+03	40.48
5415		--	
5420	-1587	3.37E+03	26.19
5425		--	
5430	-3175	-992.1	47.62
5435		--	
5440	-793.7	-595.2	40.48
5445		--	
5450	-2381	-1389	29.76
5455		--	
5460	-2183	-2579	39.29
5465		--	
5470	-1786	1.19E+03	28.57
5475		--	
5480	-5754	1.19E+03	30.95
5485		--	
5490	-1190	3.97E+03	39.29
5495		--	
5500	-2183	1.39E+03	26.19
5505		--	
5510	198.4	-793.7	20.24
5515		--	
5520	-3968	-1786	26.19
5525		--	
5530	198.4	1.59E+03	39.29
5535		--	
5540	793.7	-4563	38.1
5545		--	
5550	-1190	595.2	30.95
5555		--	
5560	-5556	1.59E+03	39.29
5565		--	
5570	-396.8	-595.2	21.43
5575		--	
5580	-2381	396.8	30.95
5585		--	
5590	-3968	-2579	29.76
5595		--	
5600	-1389	-2976	55.95
5605		--	
5610	-2381	1.39E+03	17.86
5615		--	
5620	-1190	-1984	44.05
5625		--	
5630	-2183	0.00E+00	72.62
5635		--	
5640	-3571	396.8	32.14
5645		--	
5650	-5159	3.57E+03	36.9
5655		--	
5660	-396.8	2.38E+03	27.38
5665		--	
5670	198.4	3.77E+03	57.14
5675		--	
5680	-3770	-3968	29.76
5685		--	
5690	-3373	-1389	39.29
5695		--	
5700	1.98E+03	-1786	25
5705		--	
5710	-1389	-2183	30.95
5715		--	
5720	-198.4	198.4	28.57
5725		--	
5730	-5357	1.19E+03	9.524
5735		--	
5740	-1190	793.7	14.29
5745		--	
5750	-3373	595.2	13.1
5755		--	
5760	-2381	793.7	2.381
5765		--	
5770	-4167	198.4	23.81
5775		--	
5780	595.2	-3175	45.24
5785		--	
5790	-2183	-198.4	48.81
5795		--	
5800	-4960	1.79E+03	52.38
5805		--	
5810	-2579	2.18E+03	39.29
5815		--	
5820	-2381	3.37E+03	46.43
5825		--	
5830	-2183	3.37E+03	27.38
5835		--	
5840	-595.2	1.59E+03	29.76
5845		--	
5850	-1984	-198.4	25
5855		--	
5860	-3968	-992.1	20.24
5865		--	
5870	3.18E+03	-1190	13.1
5875		--	
5880	-4365	595.2	34.52
5885		--	
5890	-3770	3.77E+03	25
5895		--	
5900	3.37E+03	2.18E+03	38.1
5905		--	
5910	-2183	3.97E+03	53.57
5915		--	
5920	-3770	992.1	42.86
5925		--	
5930	-2778	-2579	41.67
5935		--	
5940	0.00E+00	-198.4	46.43
5945		--	
5950	793.7	1.79E+03	30.95
5955		--	
5960	2.18E+03	-3175	35.71
5965		--	
5970	-3770	4.96E+03	29.76
5975		--	
5980	-1786	-793.7	15.48
5985		--	
5990	-3175	3.18E+03	8.333
5995		--	
6000	-2778	396.8	1.19
6005		--	
6010	-793.7	396.8	29.76
6015		--	
6020	-3175	1.19E+03	16.67
6025		--	
6030	-1389	1.19E+03	32.14
6035		--	
6040	198.4	-1984	30.95
6045		--	
6050	-5159	3.77E+03	35.71
6055		--	
6060	793.7	1.39E+03	33.33
6065		--	
6070	1.39E+03	4.76E+03	33.33
6075		--	
6080	-4960	3.18E+03	17.86
