				Integrated Y1	Integrated Y2							
				Integrate of B x=(0,7490) Area = -5.63888e+06	Integrate of C x=(0,7490) Area = -397100							
600	-595.2	198.4	29.76	-674592	214274	100362.424865793	35360.8046165613	166.799799799806	31.167987987988	1059.50207837013	81.4057281332992	65001.6202492315
605		--		--	--	--	--	2470.68168168165	32.077867867868	1060.78213420318	61.8992133045663	--
610	-5159	1190	34.52	-703363	221216	84161.1308342165	40050.8684139854	-3330.88188188186	48.145005005005	1062.06219003623	42.3926984758334	44110.2624202311
615		--		--	--	--	--	-3571	33.4078578578579	1063.34224586929	22.886183647101	--
620	0	-1389	17.86	-729158	220221	70935.8368026401	36803.9322114095	-39.2162162161853	33.516936936937	1064.62230170234	3.37966881836803	34131.9045912307
625		--		--	--	--	--	2755.79779779782	34.764864864865	1066.11681935676	11.359091177229	--
630	-1587	-198.4	26.19	-737093	212284	75570.5427710638	26614.9960088336	-1409.06206206206	15.1289189189189	1067.70110394022	30.8432566984394	48955.5467622302
635		--		--	--	--	--	-2583.90990990992	20.2685885885886	1069.28538852368	50.3274222196498	--
640	-3571	-2976	32.14	-762883	196412	62350.2487394874	8491.0598062576	-2883.44144144144	33.7504004004003	1070.86967310714	69.8115877408597	53859.1889332298
645		--		--	--	--	--	-2174.57057057057	81.5909509509509	1072.4539576906	89.2957532620701	--
650	-793.7	-3571	35.71	-784706.5	163677	53096.454707911	-26495.8763963183	-91.7657657657569	202.952942942944	1074.03824227406	108.77991878328	79592.3311042293
655		--		--	--	--	--	852.892892892888	57.30498898899	1075.62252685752	128.26408430449	--
660	-1786	992.1	23.81	-797605	150782.5	52767.6606763346	-41642.3125988943	2023.10910910911	-2.376	1077.20681144098	147.748249825701	94409.9732752289
665		--		--	--	--	--	1517.40540540539	-2.376	1078.79109602444	167.232415346911	--
670	-396.8	-2381	32.14	-808519	143838	54423.3666447583	-50838.7488014702	-3540.40640640637	-2.376	1080.57309547923	186.696225743409	105262.115446228
675		--		--	--	--	--	-1923.45345345346	142.467683683683	1082.99183079346	206.094482963556	--
680	-1389	-198.4	30.95	-817448	130941	58064.0726131819	-65987.6850040461	-1652.20720720721	247.663663663664	1085.41056610769	225.492740183703	124051.757617228
685		--		--	--	--	--	-2140.17217217217	302.4	1087.82930142193	244.89099740385	--
690	-3175	0	36.9	-840268	129949	47813.7785816055	-69231.6212066221	-1990.97197197197	302.4	1090.24803673616	264.289254623997	117045.399788228
695		--		--	--	--	--	-1133.27507507509	84.572108108111	1092.66677205039	283.687511844144	--
700	-4563	3571	19.05	-878958	147804	21693.4845500292	-53628.557409198	-1807.30080080079	-2.376	1095.03397137161	301.709756083074	75322.0419592271
705		--		--	--	--	--	-2465.9987987988	37.141381381381	1095.99491498796	282.184919308711	--
710	-198.4	1786	22.62	-902765	174589	10456.1905184528	-29095.4936117739	-680.994594594591	175.452216216216	1096.9558586043	262.660082534348	39551.6841302267
715		--		--	--	--	--	112.804004004009	267.95975975976	1097.91680222065	243.135245759985	--
720	1190	3373	32.14	-897807	200384	27983.8964868764	-5552.42981434983	-2178.11031031036	302.4	1098.87774583699	223.610408985622	33536.3263012263
725		--		--	--	--	--	-3805.30930930938	237.417729729733	1099.83868945334	204.08557221126	--
730	-3571	-4167	42.86	-909712	196414	28648.6024553001	-11774.3660169258	954.851851851809	8.91200000000208	1100.79963306969	184.560735436897	40422.9684722258
735		--		--	--	--	--	1614.77677677678	79.9252132132129	1101.76057668603	165.035898662535	--
740	-2976	-1389	36.9	-942447	168634	8483.30842372368	-41806.3022195017	-1150.17417417418	59.6966846846846	1102.72152030238	145.511061888172	50289.6106432254
745		--		--	--	--	--	-4099.95295295294	28.453341341342	1103.68246391872	125.986225113809	--
750	2381	-2381	32.14	-945422	149784	18078.0143921473	-62908.2384220777	-2463.99899899898	137.373985985987	1104.64340753507	106.461388339446	80986.252814225
755		--		--	--	--	--	1431.63963963958	39.505369369371	1105.60435115142	86.9365515650835	--
760	-595.2	-2579	30.95	-936493	124984	39576.7203605711	-89960.1746246536	961.720720720754	120.684696696695	1106.56529476776	67.411714790721	129536.894985225
765		--		--	--	--	--	-1053.72332332333	207.97503903904	1107.52623838411	47.8868780163581	--
770	198.4	-396.8	50	-938477	110105	50162.4263289947	-107091.11082723	136.429429429429	8.03477477477486	1108.48718200045	28.3620412419952	157253.537156224
775		--		--	--	--	--	-1916.95935935937	-2.376	1109.4481256168	8.83720446763272	--
780	-4762	793.7	21.43	-961295	112089.5	39914.1322974183	-107358.547029805	-3051.97397397398	-2.376	1110.71795558963	5.91466396684257	147272.679327224
785		--		--	--	--	--	-3247.92492492492	30.1594954954971	1112.40450345189	25.3902440610938	--
790	-396.8	396.8	35.71	-987089	118042	26689.838265842	-103657.983232381	-2801.82382382383	146.202762762761	1114.09105131416	44.8658241553454	130347.821498223
795		--		--	--	--	--	-806.42642642644	42.5539699699707	1115.77759917642	64.3414042495971	--
800	-2778	-198.4	21.43	-1002963	119034	23385.5442342656	-104917.919434957	364.672972972972	137.656216216216	1117.46414703868	83.8169843438483	128303.463669223
805		--		--	--	--	--	461.601301301298	238.638054054053	1119.15069490094	103.2925644381	--
810	-1786	198.4	26.19	-1025783	119034	13135.2502026892	-107169.855637533	-728.551451451461	10.1323243243225	1120.8372427632	103.431855467649	120305.105840222
815		--		--	--	--	--	612.165465465485	124.182366366368	1122.52379062546	83.9562753733972	--
