               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Timestamp
 DSO 1       58,5.40E-01,4.167,1.984,4.41E-02,          ,          ,          ,          ,580000
 DSO 2       53,          ,          ,          ,          ,9.13E-02,-1.47E-01,3.10E-01,1.71E-02,581692
 DSO 1       59,5.56E-01,-1.389,3.77,4.64E-02,          ,          ,          ,          ,590000
 DSO 2       54,          ,          ,          ,          ,3.89E-01,2.10E-01,4.48E-01,1.83E-02,591692
 DSO 1       60,5.24E-01,-2.579,5.95E-01,3.69E-02,          ,          ,          ,          ,600000
 DSO 2       55,          ,          ,          ,          ,6.87E-01,6.27E-01,6.47E-01,1.35E-02,601692
 DSO 1       61,6.67E-01,-2.579,-2.381,2.74E-02,          ,          ,          ,          ,610000
 DSO 2       56,          ,          ,          ,          ,7.26E-01,6.27E-01,7.86E-01,1.87E-02,611692
 DSO 1       62,5.40E-01,3.97E-01,-3.97E-01,3.57E-02,          ,          ,          ,          ,620000
 DSO 2       57,          ,          ,          ,          ,6.87E-01,3.49E-01,6.27E-01,1.98E-02,621692
 DSO 1       63,6.83E-01,1.587,1.389,1.67E-02,          ,          ,          ,          ,630000
 DSO 2       58,          ,          ,          ,          ,6.27E-01,2.90E-01,2.10E-01,1.55E-02,631692
 DSO 1       64,5.71E-01,2.183,-3.373,2.98E-02,          ,          ,          ,          ,640000
 DSO 2       59,          ,          ,          ,          ,5.48E-01,6.07E-01,8.85E-01,1.79E-02,641692
 DSO 1       65,6.35E-01,-3.373,4.762,2.62E-02,          ,          ,          ,          ,650000
 DSO 2       60,          ,          ,          ,          ,-2.78E-02,7.14E-02,3.49E-01,1.51E-02,651692
 DSO 1       66,5.08E-01,-1.19,-5.95E-01,2.02E-02,          ,          ,          ,          ,660000
 DSO 2       61,          ,          ,          ,          ,2.50E-01,2.70E-01,1.71E-01,1.27E-02,661692
 DSO 1       67,6.03E-01,-2.778,3.175,1.67E-02,          ,          ,          ,          ,670000
 DSO 2       62,          ,          ,          ,          ,5.68E-01,-4.76E-02,6.47E-01,2.30E-02,671692
 DSO 1       68,6.51E-01,-2.381,9.92E-01,9.52E-03,          ,          ,          ,          ,680000
 DSO 2       63,          ,          ,          ,          ,-8.73E-02,1.19E-02,5.68E-01,1.75E-02,681692
 DSO 1       69,6.35E-01,-3.97E-01,1.98E-01,3.45E-02,          ,          ,          ,          ,690000
 DSO 2       64,          ,          ,          ,          ,8.25E-01,4.68E-01,6.87E-01,1.94E-02,691692
 DSO 1       70,6.98E-01,-2.976,1.19,1.91E-02,          ,          ,          ,          ,700000
